Date,Close,High,Low,Open,Volume
2023-05-22,280.6473388671875,285.9921436554298,280.1961946648303,281.0396134499324,1189700
2023-05-23,268.8691101074219,279.79410857498254,266.81944769134975,278.8624601651131,2163300
2023-05-24,267.2999572753906,269.8301835157132,264.99530311963326,267.7314682632188,1181800
2023-05-25,267.14306640625,268.8298740810539,262.5926272852229,267.79033294841537,1159100
2023-05-26,267.3196105957031,270.52652376173023,266.09373367991554,267.81977795450786,1091700
2023-05-30,266.2506408691406,270.00674437715696,265.45627504780094,265.75050345521527,1365800
2023-05-31,270.26177978515625,270.5069552269098,263.8676150385354,264.61295795863185,2669300
2023-06-01,273.19403076171875,274.16491569345106,268.2120502590669,269.84001838057065,1178900
2023-06-02,272.9292297363281,274.97892231560223,271.9877646271638,273.5372898381462,1411100
2023-06-05,272.5957946777344,274.6650905127933,271.75240570979986,274.6650905127933,858900
2023-06-06,271.2130126953125,274.0178348051103,267.23136663490425,273.41959127242416,1036200
2023-06-07,272.6055908203125,273.43919306167726,268.80046430011294,271.27182124840203,1187000
2023-06-08,271.4287414550781,273.57648011913204,270.4088334509307,272.63501506582884,963700
2023-06-09,275.2240905761719,275.48886921383865,270.01653793964164,271.4287505311354,1135400
2023-06-12,274.5179138183594,275.01805111669023,271.21292538455066,274.5865401617902,851100
2023-06-13,276.3028564453125,277.49931358249995,273.674583366454,274.59644525553136,983900
2023-06-14,287.9045715332031,294.2202921358128,285.38416127651357,291.58220247748807,2736000
2023-06-15,289.9444274902344,290.3367021518613,284.7663241422993,288.0811004010277,1088800
2023-06-16,288.6694641113281,295.4264812186805,288.3360292255677,292.513796853086,2431300
2023-06-20,292.0528564453125,293.4847019962385,285.4331221880487,286.9335940892166,1401600
2023-06-21,291.82733154296875,292.3568887662539,288.1006481538964,290.86623336780445,1469600
2023-06-22,292.14117431640625,293.43567750684554,290.05227540350074,291.9352054597581,1083600
2023-06-23,292.13134765625,293.71026259766677,290.65047891522903,291.2781421981048,2412500
2023-06-26,291.1114196777344,293.5337534967462,288.2183683092035,290.8368244643038,807000
2023-06-27,292.9845275878906,293.16104664758285,289.3853404736949,291.5821318437303,1044400
2023-06-28,294.4850769042969,296.54455626158773,292.79826894568043,292.8571086477198,1272000
2023-06-29,296.68731689453125,297.1199084328567,292.94149062224847,294.4260674925731,684700
2023-06-30,299.951416015625,301.76042159967767,298.103075743952,299.71546789705417,1069200
