Price,Close,High,Low,Open,Volume
Ticker,SYK,SYK,SYK,SYK,SYK
Date,,,,,
2019-04-01,183.80801391601562,187.32295542918013,183.2081311365289,186.76055906614033,1625900
2019-04-02,182.936279296875,184.10792632903386,182.61759473668747,183.7142546425083,919700
2019-04-03,182.626953125,184.53908898986603,181.92396494280862,183.96732469625712,1154700
2019-04-04,181.5677947998047,183.198718236276,181.20224151552685,182.9550208142012,729200
2019-04-05,183.00189208984375,183.7142483120102,181.63340211041213,182.12081126364782,640100
2019-04-08,183.47055053710938,183.75173437273725,180.70545219989634,183.17997006974153,1162100
2019-04-09,183.68614196777344,184.3610118234617,182.31765189864657,182.8425617993293,701900
2019-04-10,183.84548950195312,185.42955867227363,182.6176056273968,183.38619868911678,774500
2019-04-11,183.08624267578125,183.95794115081662,182.49572802989854,183.95794115081662,667200
2019-04-12,180.59298706054688,184.06105945037507,180.4523951361975,183.92046752602567,1457700
2019-04-15,181.2959747314453,181.74588319031685,180.3399067418028,181.02415891109203,1445600
2019-04-16,177.19056701660156,182.65513201258534,176.1126571677831,182.51454005050846,1683600
2019-04-17,168.942138671875,177.62169497678207,168.71717728665317,177.5467078483748,3369100
2019-04-18,168.9608612060547,169.4951390898261,163.8806016572533,168.79215090738867,3396700
2019-04-22,170.7417755126953,172.17587028024906,168.2016385524694,168.98898189498297,1896300
2019-04-23,175.24090576171875,175.58770869889761,170.61055450364447,171.52912175209022,2931400
2019-04-24,173.4412841796875,177.04996352967441,170.52622516957993,172.1102945834339,2735900
2019-04-25,175.43772888183594,176.04699388728108,172.0915125746699,172.0915125746699,1493200
2019-04-26,176.47816467285156,176.84371798151375,174.04113308021536,176.12197939177938,890300
2019-04-29,175.5502166748047,176.36569275728112,174.29421445422284,176.05637621597384,898000
2019-04-30,177.0687255859375,177.2936727254752,175.04411551608243,175.7845903542873,1063300
2019-05-01,174.9972686767578,177.05936542733414,174.4161360903935,176.91877344751626,972000
2019-05-02,177.01243591308594,177.25613334221825,174.82848417113647,175.20340549323723,1126300
2019-05-03,178.75587463378906,179.16828243037833,177.05931749006731,179.16828243037833,878600
2019-05-06,179.0464324951172,179.27137959142874,175.5877278659952,175.5877278659952,1111400
2019-05-07,175.77517700195312,178.37155088590444,173.90990973766097,177.37799646956418,1502400
2019-05-08,176.26258850097656,177.1624054436241,174.61290026890205,175.97202231528138,910500
2019-05-09,176.22508239746094,176.37505665076105,172.70077325890037,174.4816710342602,922000
2019-05-10,175.55960083007812,176.04701001862978,170.46995849177077,175.14717877071385,958200
2019-05-13,172.65394592285156,173.92869877694994,171.52916735802015,172.75705145893068,956300
2019-05-14,172.6351776123047,174.7066561482196,172.54145441800875,172.9257581309237,625100
2019-05-15,174.03176879882812,174.81911220330548,170.78865769367172,171.99779118609536,778300
2019-05-16,173.99429321289062,175.88766471257637,173.1881994003346,174.93161093435882,1172400
2019-05-17,172.59767150878906,174.74412263438575,172.13838071142314,172.28835496799147,998100
2019-05-20,172.75698852539062,173.3100024254781,171.23853873114015,171.84778939363244,811500
2019-05-21,173.82557678222656,175.12844790440846,173.76934000466008,173.9568006973264,922100
2019-05-22,174.29420471191406,174.7909818953068,173.45999262071388,174.07862566874948,878500
2019-05-23,172.9351043701172,173.97552752134777,171.3416672445175,173.78806685404172,798900
2019-05-24,173.18821716308594,174.03179747799433,172.12904345244786,173.3944282271453,708000
2019-05-28,170.5730743408203,174.92222798085467,170.14191619978675,173.34754107951466,2393200
2019-05-29,170.01068115234375,170.56369513724786,168.7640469526283,170.15127307991855,1053300
2019-05-30,172.2321319580078,172.37272389581565,170.17003582360311,170.2825093738494,1192000
2019-05-31,171.7541046142578,173.3850282978624,170.59182548955488,171.38855127458783,1324100
2019-06-03,171.5478515625,173.68493430221642,170.6761388568544,172.18522059258072,1124200
2019-06-04,174.7628936767578,175.2690532770013,171.60413739895685,174.34110354477758,1375000
2019-06-05,177.2842559814453,177.73416443923128,175.07218580236065,176.243832839962,1194500
2019-06-06,179.7962646484375,180.9866476746294,177.0405486811835,177.6685497420637,1037700
2019-06-07,182.120849609375,182.71135009198014,180.73362328367156,181.06167592904453,904200
2019-06-10,183.82675170898438,184.59535912557462,182.7394739937517,183.16126411884775,708200
2019-06-11,182.59881591796875,185.49512349746033,181.33344590186869,184.8671225023891,815100
2019-06-12,184.7921600341797,184.8202784181324,182.77693290513267,183.0112623062931,651500
2019-06-13,184.4453887939453,185.30771942212647,183.28310961561382,185.30771942212647,736300
2019-06-14,183.21751403808594,185.2514919758691,183.17064528697236,184.99841216172362,744800
2019-06-17,184.07981872558594,184.48287276546714,182.92692198307202,183.38619849308463,579100
2019-06-18,185.75759887695312,185.92632348559354,183.9954514787367,184.69843969301942,1112700
2019-06-19,187.92283630371094,188.1665337639799,185.1764879253844,185.75762033958995,1189800
2019-06-20,190.53794860839844,191.31592404710392,188.76641865593263,189.83496030500194,1113100
2019-06-21,190.01309204101562,191.12850266683634,188.59774711460912,190.41613188606394,1840100
2019-06-24,191.66268920898438,192.13134798542617,190.27546323536927,190.82847715901121,902700
2019-06-25,191.02536010742188,192.45945511921084,190.42547732015285,191.67211164260783,1213000
2019-06-26,189.6849822998047,191.8689343023048,188.23215127658932,190.76290625852363,1326600
2019-06-27,190.3333740234375,190.88782697905873,189.3842495610917,190.6059044207928,758100
2019-06-28,193.19017028808594,193.32173223810787,190.08905079279467,190.76565920410104,1206200
2019-07-01,194.0923309326172,195.41735710816857,192.00613811770478,195.12604234741167,889800
2019-07-02,193.39691162109375,194.5903756657846,192.30681870372536,193.58485521463177,790900
2019-07-03,195.6052703857422,195.78382181507206,193.06799607112347,194.03591918248108,547000
2019-07-05,195.99061584472656,196.55446110323825,192.73914929296015,193.91381496554234,961800
2019-07-08,195.53012084960938,195.90600806144008,193.67884693602826,195.3233785813491,849900
