Date,Close,High,Low,Open,Volume,MACD,Signal_Line,MACD_Hist,BB_Middle,BB_Lower,BB_Upper,SMA_20,SMA_50,RSI,Buy_Multi,Sell_Multi
2019-04-01,183.80801391601562,187.32295542918013,183.2081311365289,186.76055906614033,1625900.0,0.0,0.0,0.0,,,,,,,0,0
2019-04-02,182.936279296875,184.10792632903386,182.61759473668747,183.7142546425083,919700.0,-0.06954008357817543,-0.013908016715635086,-0.05563206686254034,,,,,,,0,0
2019-04-03,182.626953125,184.53908898986603,181.92396494280862,183.96732469625712,1154700.0,-0.14790616751599828,-0.04070764687570773,-0.10719852064029055,,,,,,,0,0
2019-04-04,181.5677947998047,183.198718236276,181.20224151552685,182.9550208142012,729200.0,-0.29210981856530793,-0.09098808121362778,-0.20112173735168015,,,,,,,0,0
2019-04-05,183.00189208984375,183.7142483120102,181.63340211041213,182.12081126364782,640100.0,-0.28736007680808484,-0.1302624803325192,-0.15709759647556565,,,,,,,0,0
2019-04-08,183.47055053710938,183.75173437273725,180.70545219989634,183.17997006974153,1162100.0,-0.2429781514123306,-0.15280561454848146,-0.09017253686384913,,,,,,,0,0
2019-04-09,183.68614196777344,184.3610118234617,182.31765189864657,182.8425617993293,701900.0,-0.18823882905311962,-0.1598922574494091,-0.028346571603710513,,,,,,,0,0
2019-04-10,183.84548950195312,185.42955867227363,182.6176056273968,183.38619868911678,774500.0,-0.1304952395317116,-0.1540128538658696,0.023517614334158,,,,,,,0,0
2019-04-11,183.08624267578125,183.95794115081662,182.49572802989854,183.95794115081662,667200.0,-0.14433410863799168,-0.15207710482029402,0.007742996182302342,,,,,,,0,0
2019-04-12,180.59298706054688,184.06105945037507,180.4523951361975,183.92046752602567,1457700.0,-0.3524238801372235,-0.1921464598836799,-0.16027742025354358,,,,,,,0,0
2019-04-15,181.2959747314453,181.74588319031685,180.3399067418028,181.02415891109203,1445600.0,-0.4553621617799024,-0.2447896002629244,-0.210572561516978,,,,,,,0,0
2019-04-16,177.19056701660156,182.65513201258534,176.1126571677831,182.51454005050846,1683600.0,-0.8583194119800055,-0.36749556260634064,-0.49082384937366486,,,,,,,0,0
2019-04-17,168.942138671875,177.62169497678207,168.71717728665317,177.5467078483748,3369100.0,-1.822239525397265,-0.6584443551645256,-1.1637951702327394,,,,,,,0,0
2019-04-18,168.9608612060547,169.4951390898261,163.8806016572533,168.79215090738867,3396700.0,-2.555187793577119,-1.0377930428470443,-1.5173947507300745,,,,,,,0,0
2019-04-22,170.7417755126953,172.17587028024906,168.2016385524694,168.98898189498297,1896300.0,-2.9582488248854304,-1.4218841992547215,-1.5363646256307089,,,,,,21.12673016943438,0,0
