Date,Close,High,Low,Open,Volume,MACD,Signal_Line,MACD_Hist,BB_Middle,BB_Lower,BB_Upper,Buy_signal_MACD_BB,Sell_signal_MACD_BB
2023-04-03,1149.8345947265625,1158.414849753777,1141.5748201102142,1156.4178065323454,428430.0,0.0,0.0,0.0,,,,0,0
2023-04-05,1146.752685546875,1157.1575849889762,1138.3696300085835,1154.7659003996537,516000.0,-0.2458503049324463,-0.04917006098648927,-0.19668024394595704,,,,0,0
2023-04-06,1154.39599609375,1161.0531280660975,1143.0788958189275,1144.0404574700983,289284.0,0.17405642633752905,-0.0045247635216856055,0.17858118985921465,,,,0,0
2023-04-10,1146.308837890625,1159.031260194122,1144.9773152111457,1156.8615764934368,187190.0,-0.14406979672094167,-0.03243377016153682,-0.11163602655940486,,,,0,0
2023-04-11,1152.078369140625,1154.3960132650816,1146.0129580640964,1148.97168342915,210020.0,0.06857533959191642,-0.012231948210846173,0.08080728780276258,,,,0,0
2023-04-12,1157.0587158203125,1167.833454563455,1148.9962621466045,1152.0782674631976,396328.0,0.6316887816401504,0.11655219775935316,0.5151365838807973,,,,0,0
2023-04-13,1161.6201171875,1166.674606052473,1154.9629855116814,1158.8340324572882,424136.0,1.4295482680161058,0.3791514118107037,1.050396856205402,,,,0,0
2023-04-17,1167.1185302734375,1190.8869327622,1158.4395545739894,1190.8869327622,588864.0,2.476980553165731,0.7987172400817093,1.6782633130840219,,,,0,0
2023-04-18,1153.927490234375,1171.7045212803125,1146.9991180869383,1169.0415964070887,303610.0,2.2171139865270106,1.0823965893707697,1.134717397156241,,,,0,0
2023-04-19,1159.647705078125,1162.7790709190833,1150.081207867274,1152.4235321195495,192174.0,2.4445620032029183,1.3548296721371995,1.0897323310657188,,,,0,0
2023-04-20,1156.713623046875,1163.2721548228574,1150.4510119549495,1158.9326670047822,280394.0,2.3608459339666297,1.5560329245030857,0.804813009463544,,,,0,0
2023-04-21,1158.2916259765625,1164.184517004163,1152.9166563594536,1157.8725454489193,198768.0,2.3942327694519463,1.7236728934928578,0.6705598759590885,,,,0,0
2023-04-24,1162.3597412109375,1175.0576028558082,1158.1928941862236,1166.230787965803,507358.0,2.717627855614637,1.9224638859172138,0.7951639696974233,,,,0,0
2023-04-25,1171.21142578125,1174.120790756146,1159.0066842561703,1168.1047402239712,184698.0,3.6461472437661087,2.267200557486993,1.3789466862791158,,,,0,0
2023-04-26,1164.7762451171875,1174.3674225373818,1160.7326778181546,1173.529141086131,291240.0,3.8187204180474055,2.5775045295990755,1.24121588844833,,,,0,0
2023-04-27,1172.39501953125,1175.1071846658124,1165.7378869282334,1166.2310078617902,171544.0,4.518174619896172,2.9656385476584948,1.552536072237677,,,,0,0
2023-04-28,1193.4510498046875,1195.3249331014122,1173.5290157426632,1173.5536958631792,789944.0,6.6943742058936095,3.711385679305518,2.9829885265880915,,,,0,0
2023-05-02,1203.732666015625,1206.1735901267996,1197.6672555275816,1203.2148650488107,291696.0,9.143270625357673,4.797762668515949,4.345507956841724,,,,0,0
2023-05-03,1193.25390625,1206.6667698464641,1190.0733007141464,1206.6667698464641,178778.0,10.121812390069408,5.862572612826641,4.259239777242767,,,,0,0
2023-05-04,1207.061279296875,1209.2556430713605,1190.5170501723037,1195.0290579377158,176872.0,11.874570740633317,7.064972238387976,4.809598502245341,1166.5994812011718,1129.7160087715106,1203.482953630833,0,0
2023-05-05,1203.85595703125,1213.9155742303599,1201.1191122313821,1205.1873592501274,162966.0,12.856796495633489,8.223337089837079,4.63345940579641,1169.3005493164062,1129.7692872005662,1208.8318114322462,0,0
2023-05-08,1218.67431640625,1224.6656868507753,1205.6066132850317,1208.6145783727716,185192.0,14.66192173535569,9.511054018940802,5.150867716414888,1172.896630859375,1129.1421726371125,1216.6510890816373,0,0
2023-05-09,1222.5206298828125,1226.3669969772188,1214.8033359616993,1220.474226306152,130440.0,16.215934645116477,10.852030144175938,5.363904500940539,1176.3028625488282,1128.2198872841552,1224.3858378135012,0,0
2023-05-10,1230.9776611328125,1232.7528240436834,1223.6794481236634,1225.7012918622302,198166.0,17.92330412261981,12.266284939864715,5.657019182755096,1180.5363037109375,1128.8019192833503,1232.2706881385247,0,0
2023-05-11,1222.1014404296875,1237.2402266174254,1219.8823965796364,1232.5555784895396,197700.0,18.348657997649525,13.482759551421678,4.865898446227847,1184.0374572753906,1130.95209195681,1237.1228225939713,0,0
2023-05-12,1224.9615478515625,1226.8846710042797,1211.3760443979268,1221.4603416710615,122854.0,18.700967659914568,14.526401173120258,4.17456648679431,1187.432598876953,1132.9452173896523,1241.919980364254,0,0
2023-05-15,1226.9586181640625,1234.6513517270632,1219.2906851130335,1225.8984564726827,135256.0,18.923187760294468,15.405758490555101,3.5174292697393668,1190.6995239257812,1134.9090870436871,1246.4899608078754,0,0
2023-05-16,1210.0447998046875,1231.8160399444034,1208.6393570471307,1230.8297981189876,166596.0,17.532392496763578,15.831085291796796,1.7013072049667812,1192.8458374023437,1137.5747081117818,1248.1169666929056,0,0
2023-05-17,1202.623291015625,1214.9019534328238,1197.889282156236,1213.2500706303294,316596.0,15.650909552171925,15.795050143871823,-0.14414059169989812,1195.2806274414063,1143.0198218920052,1247.5414329908074,0,0
2023-05-18,1200.182373046875,1211.154313276887,1197.2975675716343,1210.5132320167393,113646.0,13.803738181526796,15.396787751402817,-1.5930495698760208,1197.3073608398438,1147.7932373413598,1246.8214843383278,0,0
2023-05-19,1204.595703125,1206.0503856348412,1193.1306427279808,1199.6151341080238,109760.0,12.551277106124871,14.827685622347229,-2.2764085162223573,1199.70146484375,1153.9654632964473,1245.4374663910528,0,0
2023-05-22,1210.365234375,1215.5430037622225,1198.283772471481,1198.283772471481,288272.0,11.887217193988135,14.23959193667541,-2.3523747426872745,1202.3051452636719,1160.7579066593323,1243.8523838680114,0,0
2023-05-23,1210.1680908203125,1217.145703640989,1209.0585687568293,1215.5430606604023,174994.0,11.215748920071292,13.634823333354587,-2.4190744132832958,1204.6955627441407,1167.5578939325985,1241.833231555683,0,0
2023-05-24,1201.76025390625,1214.556716549339,1199.9110506228315,1206.4695823461905,308638.0,9.8911443485581,12.88608753639529,-2.9949431878371904,1206.2230041503906,1172.5309070685316,1239.9151012322495,0,0
2023-05-25,1202.5,1207.3818487748817,1191.232139229685,1200.0097153660067,372388.0,8.799640234782146,12.068798076072664,-3.269157841290518,1208.1091918945312,1180.514873185408,1235.7035106036544,0,0
2023-05-26,1236.0321044921875,1237.733347365579,1207.7268951506019,1209.9213792703513,522242.0,10.519118108154316,11.758862082488996,-1.2397439743346794,1211.2910461425781,1186.5032158089814,1236.0788764761749,0,1
2023-05-29,1242.5660400390625,1247.595849028122,1236.2293884597962,1242.1715192497388,832422.0,12.267637019998347,11.860617069990866,0.4070199500074807,1213.7467956542969,1186.7660259306697,1240.727565377924,0,0
2023-05-30,1242.36865234375,1251.269507986586,1239.6564876010532,1242.6645730174694,292886.0,13.4820110861192,12.184895873216533,1.2971152129026677,1215.6785949707032,1186.2914867817058,1245.0657031597007,0,0
2023-05-31,1220.326171875,1237.215561381363,1213.9156006755047,1236.2293196583635,410152.0,12.521428096699537,12.252202317913135,0.26922577878640297,1217.032208251953,1189.5628069587299,1244.5016095451763,0,0
2023-06-01,1214.0882568359375,1225.1341161200585,1212.066413121305,1221.9535106004162,480548.0,11.128528793078658,12.02746761294624,-0.8989388198675812,1217.3835571289062,1190.2737354857625,1244.49337877205,0,0
2023-06-02,1210.5870361328125,1224.3205002963468,1208.6639129272767,1220.4741334944397,202448.0,9.631105421695565,11.548195174696106,-1.9170897530005409,1217.7201110839844,1191.1557586259717,1244.2844635419972,0,0
2023-06-05,1221.36181640625,1224.7643023128437,1212.1404800530001,1215.5923262037982,238058.0,9.207680916963454,11.080092323149577,-1.8724114061861226,1217.8544860839843,1191.2426633088028,1244.4663088591658,0,0
2023-06-06,1223.0631103515625,1227.9203993654603,1214.334894513101,1223.5809113739383,231094.0,8.906722991036304,10.645418456726922,-1.7386954656906184,1217.881610107422,1191.2486648040044,1244.5145554108394,0,0
2023-06-07,1231.5941162109375,1232.5803580015986,1219.167493726777,1225.9479060375716,422682.0,9.249964707470326,10.366327706875603,-1.1163629994052773,1217.9124328613282,1191.2143244949582,1244.6105412276981,0,0
2023-06-08,1232.70361328125,1240.6921475457852,1228.3641254119837,1233.9856553486607,272972.0,9.501980465755878,10.19345825865166,-0.6914777928957818,1218.4425415039063,1190.984022992581,1245.9010600152317,0,0
2023-06-09,1223.8765869140625,1236.7964494698663,1221.9781438800092,1230.3611983125795,339280.0,8.886993780241028,9.932165362969533,-1.0451715827285053,1218.3882934570313,1190.979761618927,1245.7968252951357,0,0
2023-06-12,1224.468505859375,1227.3778708964055,1215.5923300152067,1221.953541213858,151098.0,8.351108927908399,9.615954075957307,-1.2648451480489076,1218.2637878417968,1190.9969208551097,1245.5306548284839,0,0
2023-06-13,1242.8619384765625,1244.2920614019301,1226.0219069457448,1228.2409511212122,411018.0,9.303369164882952,9.553437093742437,-0.2500679288594849,1219.9046447753906,1190.8304794000428,1248.9788101507384,0,1
2023-06-14,1258.7403564453125,1259.9237983539686,1240.988005470462,1241.7030066398931,393474.0,11.21007512395272,9.884764699784494,1.3253104241682259,1222.710498046875,1190.048529982234,1255.3724661115161,0,0
2023-06-15,1258.2225341796875,1263.3262627641216,1250.159960091995,1256.0034903453684,568880.0,12.534875166148822,10.41478679305736,2.1200883730914626,1225.6125061035157,1191.1162056798141,1260.1088065272172,0,0
