Date,Close,High,Low,Open,Volume,MACD,Signal_Line,MACD_Hist,BB_Middle,BB_Lower,BB_Upper,BB_Bandwidth,Buy_Signal_Combo,Sell_Signal_Combo
2023-04-03,17398.05078125,17428.05078125,17312.75,17427.94921875,230200.0,0.0,0.0,0.0,,,,,0,0
2023-04-05,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300.0,12.683760683761648,2.53675213675233,10.147008547009317,,,,,0,0
2023-04-06,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700.0,25.835009139027534,7.19640353720737,18.638605601820164,,,,,0,0
2023-04-10,17624.05078125,17694.099609375,17597.94921875,17634.900390625,254800.0,37.830633714933356,13.32324957275257,24.507384142180786,,,,,0,0
2023-04-11,17722.30078125,17748.75,17655.150390625,17704.80078125,304300.0,54.63540358249156,21.58568037470037,33.04972320779119,,,,,0,0
2023-04-12,17812.400390625,17825.75,17717.25,17759.55078125,232800.0,74.3663413652539,32.14181257281108,42.224528792442825,,,,,0,0
2023-04-13,17828.0,17842.150390625,17729.650390625,17807.30078125,285800.0,90.22198691311496,43.757847440871856,46.464139472243104,,,,,0,0
2023-04-17,17706.849609375,17863.0,17574.05078125,17863.0,357400.0,91.95191181485279,53.39666031566804,38.55525149918475,,,,,0,0
2023-04-18,17660.150390625,17766.599609375,17610.19921875,17766.599609375,258900.0,88.53408724424662,60.424145701383765,28.109941542862856,,,,,0,0
2023-04-19,17618.75,17666.150390625,17579.849609375,17653.349609375,281500.0,81.54477373030386,64.64827130716779,16.89650242313607,,,,,0,0
2023-04-20,17624.44921875,17684.44921875,17584.349609375,17638.599609375,215100.0,75.5941692110573,66.83745088794569,8.756718323111613,,,,,0,0
2023-04-21,17624.05078125,17663.19921875,17553.94921875,17639.75,230200.0,70.03875847134987,67.47771240462653,2.5610460667233355,,,,,0,0
2023-04-24,17743.400390625,17754.5,17612.5,17707.55078125,255700.0,74.40883275965825,68.86393647563288,5.54489628402537,,,,,0,0
2023-04-25,17769.25,17807.44921875,17716.849609375,17761.55078125,297400.0,79.04679333158492,70.90050784682329,8.146285484761634,,,,,0,0
2023-04-26,17813.599609375,17827.75,17711.19921875,17767.30078125,233000.0,85.3175655437044,73.78391938619951,11.53364615750489,,,,,0,0
2023-04-27,17915.05078125,17931.599609375,17797.900390625,17813.099609375,241400.0,97.35125474215965,78.49738645739154,18.85386828476811,,,,,0,0
2023-04-28,18065.0,18089.150390625,17885.30078125,17950.400390625,290300.0,117.63170384645127,86.3242499352035,31.307453911247777,,,,,0,0
2023-05-02,18147.650390625,18180.25,18101.75,18124.80078125,265200.0,138.77360591424076,96.81412113101096,41.9594847832298,,,,,0,0
2023-05-03,18089.849609375,18116.349609375,18042.400390625,18113.80078125,226200.0,149.14542007374257,107.28038091955729,41.86503915418528,,,,,0,0
2023-05-04,18255.80078125,18267.44921875,18066.69921875,18081.0,226600.0,168.81009251268551,119.58632323818294,49.22376927450257,17778.7427734375,17340.298139033508,18217.187407841495,0.049322344103999945,0,0
2023-05-05,18069.0,18216.94921875,18055.44921875,18117.30078125,239700.0,167.39163859717883,129.14738630998212,38.2442522871967,17812.290234375,17394.293940063082,18230.286528686916,0.04693346995943825,0,0
2023-05-08,18264.400390625,18286.94921875,18100.30078125,18120.599609375,228400.0,179.9602128317856,139.30995161434282,40.65026121744279,17847.65771484375,17401.819999210158,18293.495430477342,0.04996036149469544,0,0
2023-05-09,18265.94921875,18344.19921875,18229.650390625,18303.400390625,245400.0,187.88011098189963,149.0239834878542,38.85612749404544,17880.99765625,17414.17313508219,18347.822177417813,0.0522145945256741,0,0
2023-05-10,18315.099609375,18326.75,18211.94921875,18313.599609375,220500.0,195.8649043860387,158.3921676674911,37.472736718547594,17915.55009765625,17427.009894188835,18404.090301123666,0.054538119209783804,0,0
2023-05-11,18297.0,18389.69921875,18270.400390625,18357.80078125,248900.0,198.4448744888723,166.40270903176736,32.04216545710494,17944.28505859375,17436.382345256286,18452.18777193121,0.05660885476116764,0,0
2023-05-12,18314.80078125,18342.75,18194.55078125,18273.75,241700.0,199.62474387725888,173.04711600086569,26.577627876393194,17969.405078125,17439.73734374823,18499.07281250177,0.058952172548167335,0,0
2023-05-15,18398.849609375,18458.900390625,18287.900390625,18339.30078125,216100.0,204.9789669365091,179.4334861879944,25.545480748514706,17997.94755859375,17439.616151167364,18556.278966020138,0.06204389757317548,0,0
2023-05-16,18286.5,18432.349609375,18264.349609375,18432.349609375,219500.0,197.8755663981865,183.12190223003282,14.753664168153676,18026.930078125,17472.054828210108,18581.80532803989,0.06156070362620541,0,0
2023-05-17,18181.75,18309.0,18115.349609375,18300.44921875,229900.0,181.69910653029,182.83734309008426,-1.138236559794251,18053.01005859375,17522.211327678615,18583.808789508887,0.05880445744973818,0,0
2023-05-18,18129.94921875,18297.19921875,18104.849609375,18287.5,272100.0,162.8223408186277,178.83434263579295,-16.012001817165242,18078.57001953125,17588.119905252006,18569.020133810493,0.05425762256078702,0,0
2023-05-19,18203.400390625,18218.099609375,18060.400390625,18186.150390625,260900.0,152.03667950386807,173.47481000940797,-21.438130505539903,18107.517578125,17663.808583587765,18551.226572662235,0.04900826329427545,0,0
2023-05-22,18314.400390625,18335.25,18178.849609375,18201.099609375,262600.0,150.70846417744178,168.92154084301475,-18.21307666557297,18142.03505859375,17752.59547028442,18531.474646903076,0.042932293654107216,0,0
2023-05-23,18348.0,18419.75,18324.19921875,18362.900390625,270400.0,150.63067497808152,165.26336767002812,-14.632692691946602,18172.2650390625,17821.136005746986,18523.39407237801,0.038644498367235644,0,0
2023-05-24,18285.400390625,18392.599609375,18262.94921875,18294.80078125,232600.0,143.85943910276183,160.98258195657488,-17.12314285381305,18198.07255859375,17899.763988061517,18496.381129125984,0.03278463360026139,0,0
2023-05-25,18321.150390625,18338.099609375,18202.400390625,18268.900390625,235900.0,139.76676781465721,156.73941912819137,-16.972651313534158,18223.45009765625,17981.901876588006,18464.99831872449,0.026509603809797586,0,0
2023-05-26,18499.349609375,18508.55078125,18333.150390625,18368.349609375,198700.0,149.1827975853521,155.22809481962352,-6.04529723427143,18252.6650390625,18027.378566036543,18477.951512088457,0.024685323764373244,0,0
2023-05-29,18598.650390625,18641.19921875,18581.25,18619.150390625,265300.0,162.78136986910977,156.73874982952077,6.042620039588996,18279.34755859375,18023.333564095894,18535.361553091603,0.028011283627844104,1,0
2023-05-30,18633.849609375,18662.44921875,18575.5,18606.650390625,234400.0,174.38837848322873,160.26867556026238,14.119702922966354,18303.65751953125,18010.637631041343,18596.677408021158,0.03201763234230482,0,0
2023-05-31,18534.400390625,18603.900390625,18483.849609375,18594.19921875,696500.0,173.56158569106628,162.92725758642317,10.634328104643117,18325.88505859375,18033.711609117247,18618.058508070255,0.031886421697214805,0,0
2023-06-01,18487.75,18580.30078125,18464.55078125,18579.400390625,265600.0,167.2145050696745,163.78470708307344,3.429797986601045,18337.48251953125,18038.683617584433,18636.28142147807,0.03258886836059072,0,0
2023-06-02,18534.099609375,18573.69921875,18478.400390625,18550.849609375,270900.0,164.0335474381609,163.83447515409094,0.19907228406995614,18360.7375,18077.95312707335,18643.52187292665,0.030803160594899816,0,0
