Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,Signal_Line,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,OBV,OBV_pct_change,Volume_rolling_mean_10,Volume_pct_change,Volume_spike,Volume_zscore,Daily_Return,Log_Return,avg_vader_sentiment,finbert_score,refined_label,combined_sentiment,daily_avg_sentiment
2023-05-22,280.6473388671875,285.9921436554298,280.1961946648303,281.0396134499324,1189700,275.31870422363284,283.6374285888672,280.6473388671875,280.6473388671875,40.031882254031686,0.0,0.0,0.0,275.31870422363284,291.6192856393844,259.0181228078813,0,0.5462950122498036,1426960.0,0.8183575691350762,False,-1.0231362885836262,-0.041968075689965856,-0.04287417765206516,0.0,0.0,neutral,0.0,0.0
2023-05-23,268.8691101074219,279.79410857498254,266.8194476913497,278.8624601651131,2163300,275.31870422363284,283.6374285888672,278.8353036733774,279.7748774775752,40.031882254031686,-0.9395738041978348,-0.18791476083956696,-0.7516590433582678,275.31870422363284,291.6192856393844,259.0181228078813,-2163300,0.5462950122498036,1426960.0,0.8183575691350762,False,-1.0231362885836262,-0.041968075689965856,-0.04287417765206516,0.0,0.0,neutral,0.0,0.0
2023-05-24,267.2999572753906,269.8301835157132,264.99530311963326,267.7314682632188,1181800,275.31870422363284,283.6374285888672,277.06063499676407,278.85080931445043,40.031882254031686,-1.7901743176863647,-0.5083666722089266,-1.281807645477438,275.31870422363284,291.6192856393844,259.0181228078813,-3345100,0.5462950122498036,1426960.0,-0.4537049877501964,False,-1.0231362885836262,-0.005836121640765413,-0.00585321835010404,0.0,0.0,neutral,0.0,0.0
2023-05-25,267.14306640625,268.8298740810539,262.5926272852229,267.79033294841537,1159100,275.31870422363284,283.6374285888672,275.53485521360807,277.98356909902816,40.031882254031686,-2.4487138854200907,-0.8964361148511595,-1.5522777705689312,275.31870422363284,291.6192856393844,259.0181228078813,-4504200,0.346506830886969,1426960.0,-0.01920798781519717,False,-1.0231362885836262,-0.0005869468545368628,-0.0005871191752739303,0.0,0.0,neutral,0.0,0.0
2023-05-26,267.3196105957031,270.52652376173023,266.09373367991554,267.81977795450786,1091700,275.31870422363284,283.6374285888672,274.2709714262381,277.19364624693003,40.031882254031686,-2.9226748206919524,-1.3016838560193182,-1.6209909646726341,275.31870422363284,291.6192856393844,259.0181228078813,-3412500,-0.24237378446782998,1426960.0,-0.0581485635406781,False,-1.0231362885836262,0.0006608600845534607,0.0006606418126872646,0.0,0.0,neutral,0.0,0.0
2023-05-30,266.2506408691406,270.00674437715696,265.45627504780094,265.75050345521527,1365800,275.31870422363284,283.6374285888672,273.0370744174539,276.3830532559827,40.031882254031686,-3.345978838528822,-1.7105428525212192,-1.6354359860076029,275.31870422363284,291.6192856393844,259.0181228078813,-4778300,0.4002344322344322,1426960.0,0.25107630301364847,False,-1.0231362885836262,-0.003998845143386109,-0.004006861903618772,0.0,0.0,neutral,0.0,0.0
2023-05-31,270.26177978515625,270.5069552269098,263.8676150385354,264.61295795863185,2669300,275.31870422363284,283.6374285888672,272.610106012485,275.929625591477,40.031882254031686,-3.319519578992015,-2.0323381978153785,-1.2871813811766364,275.31870422363284,291.6192856393844,259.0181228078813,-2109000,-0.5586296381558296,1426960.0,0.9543857080099576,False,-1.0231362885836262,0.01506527422026771,0.014952920002596917,0.0,0.0,neutral,0.0,0.0
2023-06-01,273.19403076171875,274.16491569345106,268.2120502590669,269.84001838057065,1178900,275.31870422363284,283.6374285888672,272.69994058929024,275.72698893742086,40.031882254031686,-3.02704834813062,-2.231280227878427,-0.7957681202521929,275.31870422363284,291.6192856393844,259.0181228078813,-930100,-0.5589853010905643,1426960.0,-0.558348630727157,False,-1.0231362885836262,0.01084966945342214,0.01079123407950259,0.0,0.0,neutral,0.0,0.0
2023-06-02,272.9292297363281,274.97892231560223,271.9877646271638,273.5372898381462,1411100,275.31870422363284,283.6374285888672,272.73521584268065,275.51974751511773,40.031882254031686,-2.784531672437083,-2.3419305167901583,-0.4426011556469249,275.31870422363284,291.6192856393844,259.0181228078813,-2341200,1.5171486936888505,1426960.0,0.19696327084570364,False,-1.0231362885836262,-0.0009692782256344179,-0.0009697482795403199,0.0,0.0,neutral,0.0,0.0
2023-06-05,272.5957946777344,274.6650905127933,271.75240570979986,274.6650905127933,858900,275.31870422363284,283.6374285888672,272.7137664326889,275.30315841605227,40.031882254031686,-2.5893919833633845,-2.3914228101048036,-0.19796917325858088,275.31870422363284,291.6192856393844,259.0181228078813,-3200100,0.3668631471040491,1426960.0,-0.3913259159520941,False,-1.0231362885836262,-0.0012216905419616397,-0.0012224374142116112,0.0,0.0,neutral,0.0,0.0
2023-06-06,271.2130126953125,274.0178348051103,267.23136663490425,273.41959127242416,1036200,275.31870422363284,283.6374285888672,272.4828812423233,275.00018465896045,40.031882254031686,-2.517303416637162,-2.4165989314112757,-0.10070448522588649,275.31870422363284,291.6192856393844,259.0181228078813,-4236300,0.32380238117558835,1411610.0,0.206426825008732,False,-0.6649765310978824,-0.0050726460547808605,-0.00508555559931766,0.0,0.0,neutral,0.0,0.0
2023-06-07,272.6055908203125,273.43919306167726,268.80046430011294,271.27182124840203,1187000,275.31870422363284,283.6374285888672,272.501759638937,274.82280733757915,40.031882254031686,-2.3210476986421327,-2.3974886848574473,0.07644098621531459,275.31870422363284,291.6192856393844,259.0181228078813,-3049300,-0.2801973420201591,1313980.0,0.14553175062729196,False,-0.25348121854735495,0.0051346287228646315,0.005121491467566579,0.0,0.0,neutral,0.0,0.0
2023-06-08,271.4287414550781,273.57648011913204,270.4088334509307,272.63501506582884,963700,275.31870422363284,283.6374285888672,272.33667991834335,274.5713950499865,40.031882254031686,-2.2347151316431564,-2.364933974214589,0.1302188425714328,275.31870422363284,291.6192856393844,259.0181228078813,-4013000,0.31603974682714076,1292170.0,-0.18812131423757372,False,-0.6415865484515412,-0.004317040460149912,-0.004326385785112819,0.0,0.0,neutral,0.0,0.0
2023-06-09,275.2240905761719,275.48886921383865,270.01653793964164,271.4287505311354,1135400,275.31870422363284,283.6374285888672,272.7808969426246,274.619742866741,40.031882254031686,-1.838845924116356,-2.2597163641949427,0.42087044007858676,275.31870422363284,291.6192856393844,259.0181228078813,-2877600,-0.28293047595315224,1289800.0,0.17816747950607037,False,-0.3011484199375127,0.013982856423927714,0.013885998146312813,0.0,0.0,neutral,0.0,0.0
2023-06-12,274.5179138183594,275.01805111669023,271.21292538455066,274.5865401617902,851100,275.31870422363284,283.6374285888672,273.04813030812227,274.61219997426826,40.031882254031686,-1.564069666145997,-2.1205870245851535,0.5565173584391565,275.31870422363284,291.6192856393844,259.0181228078813,-3728700,0.29576730608840696,1265740.0,-0.2503963360930068,False,-0.784653170760168,-0.0025658246570426924,-0.0025691220266505234,0.0,0.0,neutral,0.0,0.0
2023-06-13,276.3028564453125,277.49931358249995,273.674583366454,274.59644525553136,983900,275.31870422363284,283.6374285888672,273.5488574061515,274.7374337869382,67.91103490162456,-1.1885763807866851,-1.93418489582546,0.7456085150387748,275.31870422363284,291.6192856393844,259.0181228078813,-2744800,-0.26387212701477725,1227550.0,0.15603336858183536,False,-0.4561270883483497,0.0065020989054076495,0.006481051446163346,0.0,0.0,neutral,0.0,0.0
2023-06-14,287.9045715332031,294.2202921358128,285.3841612765136,291.58220247748807,2736000,275.31870422363284,283.6374285888672,275.7574288103133,275.71277732369856,83.46597352747575,0.0446514866147254,-1.538417619337423,1.5830691059521484,275.31870422363284,291.6192856393844,259.0181228078813,-8800,-0.9967939376275139,1234220.0,1.7807704034962901,True,2.7097446380105663,0.041989124676989675,0.0411315063064502,0.0,0.0,neutral,0.0,0.0
2023-06-15,289.9444274902344,290.3367021518613,284.7663241422993,288.0811004010277,1088800,275.31870422363284,283.6374285888672,277.9400439918396,276.76697363233086,84.89927086398647,1.1730703595087562,-0.9961200235681874,2.1691903830769435,275.31870422363284,291.6192856393844,259.0181228078813,1080000,-123.72727272727273,1225210.0,-0.602046783625731,False,-0.24536663610348816,0.007085180850613826,0.007060198888507676,0.0,0.0,neutral,0.0,0.0
2023-06-16,288.6694641113281,295.4264812186805,288.3360292255677,292.513796853086,2431300,275.31870422363284,283.6374285888672,279.59072401022246,277.64863959373804,81.61460470446605,1.9420844164844198,-0.408479135557666,2.350563552042086,275.31870422363284,291.6192856393844,259.0181228078813,-1351300,-2.2512037037037036,1327230.0,1.2330088170462896,True,1.6362476618540471,-0.0043972680901038785,-0.004406964509041645,0.0,0.0,neutral,0.0,0.0
2023-06-20,292.0528564453125,293.4847019962385,285.4331221880487,286.9335940892166,1401600,275.31870422363284,283.6374285888672,281.5079751540825,278.71561861978057,85.75672198647186,2.7923565343019163,0.23168799841425042,2.560668535887666,275.31870422363284,291.6192856393844,259.0181228078813,50300,-1.0372234144897505,1381500.0,-0.42351828240036193,False,0.03071409243973883,0.01172064507896664,0.011652490346465991,0.0,0.0,neutral,0.0,0.0
